 tp_id |           symbol           | direction |  entry_price   |   stop_loss    | take_profit_1  | tp_status |         activated_at          |         created_at         | has_toobit_demo_order | toobit_order_status |                     toobit_error                     | has_competition_trade | ct_id | ct_tp_id | ct_entered_at | ct_exit_reason 
 15062 | HYPE/USDT:USDT             | long      |    64.78300000 |    56.64400000 |    70.41400000 | open      | 2026-06-23 07:45:23.687592+02 | 2026-06-22 18:49:33.82+02  | no                    |                     |                                                      | no                    |       |          |               | 
 15060 | MSTR/USDT:USDT             | long      |   110.22000000 |    80.00000000 |   190.74000000 | open      | 2026-06-22 18:47:00+02        | 2026-06-22 18:46:18.199+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14805 | NEAR/USDT:USDT             | long      |     1.84200000 |     1.78600000 |     2.08700000 | expired   |                               | 2026-06-12 15:30:41.249+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14802 | HYPE/USDT:USDT             | long      |    58.30700000 |    51.41400000 |    65.00000000 | closed    | 2026-06-13 06:08:00+02        | 2026-06-12 15:26:00.837+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14800 | US30/USDT:USDT             | long      | 49648.50000000 | 49548.10000000 | 51306.40000000 | expired   |                               | 2026-06-12 15:21:23.834+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14781 | BONK/USDT:USDT             | long      |     0.00000436 |     0.00000390 |     0.00000594 | open      | 2026-06-12 08:34:00+02        | 2026-06-11 23:13:00.458+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14777 | QQQ/USDT:USDT              | long      | 28400.00000000 | 27898.10000000 | 29200.00000000 | expired   |                               | 2026-06-11 18:37:09.128+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14776 | BTC/USDT:USDT              | short     | 64250.00000000 | 64950.00000000 | 61827.00000000 | closed    | 2026-06-12 17:11:00+02        | 2026-06-11 18:34:14.656+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14738 | AR/USDT:USDT               | short     |     2.17000000 |     2.35000000 |     1.80000000 | expired   |                               | 2026-06-11 00:02:58.756+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14736 | TON/USDT:USDT              | long      |     1.53190000 |     1.45000000 |     1.78360000 | expired   |                               | 2026-06-11 00:02:52.907+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14733 | NEAR/USDT:USDT             | long      |     2.01200000 |     1.89000000 |     2.22000000 | closed    | 2026-06-11 03:41:00+02        | 2026-06-11 00:00:04.46+02  | no                    |                     |                                                      | no                    |       |          |               | 
 14734 | ONDO/USDT:USDT             | long      |     0.34380000 |     0.34080000 |     0.37590000 | closed    | 2026-06-11 05:45:00+02        | 2026-06-11 00:00:02.898+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14731 | STR/USDT                   | long      |   118.82000000 |    95.00000000 |   155.24000000 | cancelled |                               | 2026-06-10 23:59:43.092+02 | no                    |                     |                                                      | no                    |       |          |               | 
 14718 | PUMP/USDT:USDT             | short     |     0.00181400 |     0.00184300 |     0.00165000 | expired   |                               | 2026-06-10 23:30:31.816+02 | no                    |                     |                                                      | no                    |       |          |               | 
